Entry	Entry name	Status	Protein names	Organism	Length	Gene names  (primary )
Q9Y653	AGRG1_HUMAN	reviewed	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	Homo sapiens (Human)	693	ADGRG1
O00253	AGRP_HUMAN	reviewed	Agouti-related protein	Homo sapiens (Human)	132	AGRP
P19961	AMY2B_HUMAN	reviewed	Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)	Homo sapiens (Human)	511	AMY2B
P04746	AMYP_HUMAN	reviewed	Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Homo sapiens (Human)	511	AMY2A
Q9NP70	AMBN_HUMAN	reviewed	Ameloblastin	Homo sapiens (Human)	447	AMBN
Q86XS5	ANGL5_HUMAN	reviewed	Angiopoietin-related protein 5 (Angiopoietin-like protein 5)	Homo sapiens (Human)	388	ANGPTL5
O43827	ANGL7_HUMAN	reviewed	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	Homo sapiens (Human)	346	ANGPTL7
Q15389	ANGP1_HUMAN	reviewed	Angiopoietin-1 (ANG-1)	Homo sapiens (Human)	498	ANGPT1
O15123	ANGP2_HUMAN	reviewed	Angiopoietin-2 (ANG-2)	Homo sapiens (Human)	496	ANGPT2
P01019	ANGT_HUMAN	reviewed	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	Homo sapiens (Human)	485	AGT
P04114	APOB_HUMAN	reviewed	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	Homo sapiens (Human)	4563	APOB
P02655	APOC2_HUMAN	reviewed	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]	Homo sapiens (Human)	101	APOC2
O95445	APOM_HUMAN	reviewed	Apolipoprotein M (Apo-M) (ApoM) (Protein G3a)	Homo sapiens (Human)	188	APOM
P55056	APOC4_HUMAN	reviewed	Apolipoprotein C-IV (Apo-CIV) (ApoC-IV) (Apolipoprotein C4)	Homo sapiens (Human)	127	APOC4
P05090	APOD_HUMAN	reviewed	Apolipoprotein D (Apo-D) (ApoD)	Homo sapiens (Human)	189	APOD
Q9BPW4	APOL4_HUMAN	reviewed	Apolipoprotein L4 (Apolipoprotein L-IV) (ApoL-IV)	Homo sapiens (Human)	351	APOL4
Q15848	ADIPO_HUMAN	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	Homo sapiens (Human)	244	ADIPOQ
C9JUS6	ADM5_HUMAN	reviewed	Putative adrenomedullin-5-like protein	Homo sapiens (Human)	153	ADM5
Q8N302	AGGF1_HUMAN	reviewed	Angiogenic factor with G patch and FHA domains 1 (Angiogenic factor VG5Q) (hVG5Q) (G patch domain-containing protein 7) (Vasculogenesis gene on 5q protein)	Homo sapiens (Human)	714	AGGF1
O95994	AGR2_HUMAN	reviewed	Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog)	Homo sapiens (Human)	175	AGR2
Q6Q788	APOA5_HUMAN	reviewed	Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)	Homo sapiens (Human)	366	APOA5
Q13790	APOF_HUMAN	reviewed	Apolipoprotein F (Apo-F) (Lipid transfer inhibitor protein) (LTIP)	Homo sapiens (Human)	326	APOF
O14791	APOL1_HUMAN	reviewed	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	Homo sapiens (Human)	398	APOL1
Q9H4A4	AMPB_HUMAN	reviewed	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	Homo sapiens (Human)	650	RNPEP
P01008	ANT3_HUMAN	reviewed	Antithrombin-III (ATIII) (Serpin C1)	Homo sapiens (Human)	464	SERPINC1
P28039	AOAH_HUMAN	reviewed	Acyloxyacyl hydrolase (EC 3.1.1.77) [Cleaved into: Acyloxyacyl hydrolase small subunit; Acyloxyacyl hydrolase large subunit]	Homo sapiens (Human)	575	AOAH
Q9ULZ1	APEL_HUMAN	reviewed	Apelin (APJ endogenous ligand) [Cleaved into: Apelin-36; Apelin-31; Apelin-28; Apelin-13]	Homo sapiens (Human)	77	APLN
P07306	ASGR1_HUMAN	reviewed	Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1)	Homo sapiens (Human)	291	ASGR1
Q92485	ASM3B_HUMAN	reviewed	Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b) (EC 3.1.4.-)	Homo sapiens (Human)	455	SMPDL3B
Q9BXN1	ASPN_HUMAN	reviewed	Asporin (Periodontal ligament-associated protein 1) (PLAP-1)	Homo sapiens (Human)	380	ASPN
P54793	ARSF_HUMAN	reviewed	Arylsulfatase F (ASF) (EC 3.1.6.-)	Homo sapiens (Human)	590	ARSF
Q5FYB1	ARSI_HUMAN	reviewed	Arylsulfatase I (ASI) (EC 3.1.6.-)	Homo sapiens (Human)	569	ARSI
Q5T4W7	ARTN_HUMAN	reviewed	Artemin (Enovin) (Neublastin)	Homo sapiens (Human)	220	ARTN
P42127	ASIP_HUMAN	reviewed	Agouti-signaling protein (ASP) (Agouti switch protein)	Homo sapiens (Human)	132	ASIP
Q9UKU9	ANGL2_HUMAN	reviewed	Angiopoietin-related protein 2 (Angiopoietin-like protein 2)	Homo sapiens (Human)	493	ANGPTL2
Q6UXH0	ANGL8_HUMAN	reviewed	Angiopoietin-like protein 8 (Betatrophin) (Lipasin) (Refeeding-induced fat and liver protein)	Homo sapiens (Human)	198	ANGPTL8
Q6UY14	ATL4_HUMAN	reviewed	ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1)	Homo sapiens (Human)	1074	ADAMTSL4
Q5FYB0	ARSJ_HUMAN	reviewed	Arylsulfatase J (ASJ) (EC 3.1.6.-)	Homo sapiens (Human)	599	ARSJ
Q6UWY0	ARSK_HUMAN	reviewed	Arylsulfatase K (ASK) (EC 3.1.6.-) (Telethon sulfatase)	Homo sapiens (Human)	536	ARSK
Q92484	ASM3A_HUMAN	reviewed	Acid sphingomyelinase-like phosphodiesterase 3a (ASM-like phosphodiesterase 3a) (EC 3.1.4.-)	Homo sapiens (Human)	453	SMPDL3A
P02647	APOA1_HUMAN	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	Homo sapiens (Human)	267	APOA1
P02656	APOC3_HUMAN	reviewed	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	Homo sapiens (Human)	99	APOC3
Q8N6G6	ATL1_HUMAN	reviewed	ADAMTS-like protein 1 (ADAMTSL-1) (Punctin-1)	Homo sapiens (Human)	1762	ADAMTSL1
Q6ZMM2	ATL5_HUMAN	reviewed	ADAMTS-like protein 5 (ADAMTSL-5) (Thrombospondin type-1 domain-containing protein 6)	Homo sapiens (Human)	481	ADAMTSL5
P17405	ASM_HUMAN	reviewed	Sphingomyelin phosphodiesterase (EC 3.1.4.12) (Acid sphingomyelinase) (aSMase)	Homo sapiens (Human)	629	SMPD1
Q9UP79	ATS8_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 8 (ADAM-TS 8) (ADAM-TS8) (ADAMTS-8) (EC 3.4.24.-) (METH-2) (METH-8)	Homo sapiens (Human)	889	ADAMTS8
P15291	B4GT1_HUMAN	reviewed	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1] [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]	Homo sapiens (Human)	398	B4GALT1
Q86Y28	BAGE4_HUMAN	reviewed	B melanoma antigen 4 (Cancer/testis antigen 2.4) (CT2.4)	Homo sapiens (Human)	39	BAGE4
Q86TH1	ATL2_HUMAN	reviewed	ADAMTS-like protein 2 (ADAMTSL-2)	Homo sapiens (Human)	951	ADAMTSL2
P23560	BDNF_HUMAN	reviewed	Brain-derived neurotrophic factor (BDNF) (Abrineurin)	Homo sapiens (Human)	247	BDNF
P82987	ATL3_HUMAN	reviewed	ADAMTS-like protein 3 (ADAMTSL-3) (Punctin-2)	Homo sapiens (Human)	1691	ADAMTSL3
O75882	ATRN_HUMAN	reviewed	Attractin (DPPT-L) (Mahogany homolog)	Homo sapiens (Human)	1429	ATRN
Q9P2W7	B3GA1_HUMAN	reviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 1) (Glucuronosyltransferase P) (GlcAT-P) (UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase) (GlcUAT-P)	Homo sapiens (Human)	334	B3GAT1
Q13072	BAGE1_HUMAN	reviewed	B melanoma antigen 1 (B melanoma antigen) (Antigen MZ2-BA) (Cancer/testis antigen 2.1) (CT2.1)	Homo sapiens (Human)	43	BAGE
Q9H324	ATS10_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 10 (ADAM-TS 10) (ADAM-TS10) (ADAMTS-10) (EC 3.4.24.-)	Homo sapiens (Human)	1103	ADAMTS10
Q76LX8	ATS13_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)	Homo sapiens (Human)	1427	ADAMTS13
Q8TE59	ATS19_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 19 (ADAM-TS 19) (ADAM-TS19) (ADAMTS-19) (EC 3.4.24.-)	Homo sapiens (Human)	1207	ADAMTS19
Q9UHI8	ATS1_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-) (METH-1)	Homo sapiens (Human)	967	ADAMTS1
O75173	ATS4_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	Homo sapiens (Human)	837	ADAMTS4
Q9UKP5	ATS6_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 6 (ADAM-TS 6) (ADAM-TS6) (ADAMTS-6) (EC 3.4.24.-)	Homo sapiens (Human)	1117	ADAMTS6
Q9UKP4	ATS7_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7) (EC 3.4.24.-) (COMPase)	Homo sapiens (Human)	1686	ADAMTS7
Q9P2N4	ATS9_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 9 (ADAM-TS 9) (ADAM-TS9) (ADAMTS-9) (EC 3.4.24.-)	Homo sapiens (Human)	1935	ADAMTS9
Q8TE58	ATS15_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 15 (ADAM-TS 15) (ADAM-TS15) (ADAMTS-15) (EC 3.4.24.-)	Homo sapiens (Human)	950	ADAMTS15
Q8TE60	ATS18_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 18 (ADAM-TS 18) (ADAM-TS18) (ADAMTS-18) (EC 3.4.24.-)	Homo sapiens (Human)	1221	ADAMTS18
P59510	ATS20_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 20 (ADAM-TS 20) (ADAM-TS20) (ADAMTS-20) (EC 3.4.24.-)	Homo sapiens (Human)	1910	ADAMTS20
O95450	ATS2_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	Homo sapiens (Human)	1211	ADAMTS2
A6NMY6	AXA2L_HUMAN	reviewed	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)	Homo sapiens (Human)	339	ANXA2P2
Q86Y30	BAGE2_HUMAN	reviewed	B melanoma antigen 2 (Cancer/testis antigen 2.2) (CT2.2)	Homo sapiens (Human)	109	BAGE2
Q8WXS8	ATS14_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 14 (ADAM-TS 14) (ADAM-TS14) (ADAMTS-14) (EC 3.4.24.-)	Homo sapiens (Human)	1223	ADAMTS14
Q8TE56	ATS17_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 17 (ADAM-TS 17) (ADAM-TS17) (ADAMTS-17) (EC 3.4.24.-)	Homo sapiens (Human)	1095	ADAMTS17
O15072	ATS3_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	Homo sapiens (Human)	1205	ADAMTS3
Q9UNA0	ATS5_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 11) (ADAM-TS 11) (ADAMTS-11) (ADMP-2) (Aggrecanase-2)	Homo sapiens (Human)	930	ADAMTS5
P13497	BMP1_HUMAN	reviewed	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	Homo sapiens (Human)	986	BMP1
P12645	BMP3_HUMAN	reviewed	Bone morphogenetic protein 3 (BMP-3) (Bone morphogenetic protein 3A) (BMP-3A) (Osteogenin)	Homo sapiens (Human)	472	BMP3
Q8NFQ5	BPIB6_HUMAN	reviewed	BPI fold-containing family B member 6 (Bactericidal/permeability-increasing protein-like 3)	Homo sapiens (Human)	453	BPIFB6
P12643	BMP2_HUMAN	reviewed	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	Homo sapiens (Human)	396	BMP2
Q9NP55	BPIA1_HUMAN	reviewed	BPI fold-containing family A member 1 (Lung-specific protein X) (Nasopharyngeal carcinoma-related protein) (Palate lung and nasal epithelium clone protein) (Secretory protein in upper respiratory tracts) (Short PLUNC1) (SPLUNC1) (Tracheal epithelium-enriched protein) (Von Ebner protein Hl)	Homo sapiens (Human)	256	BPIFA1
O95972	BMP15_HUMAN	reviewed	Bone morphogenetic protein 15 (BMP-15) (Growth/differentiation factor 9B) (GDF-9B)	Homo sapiens (Human)	392	BMP15
P22004	BMP6_HUMAN	reviewed	Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VG-1-R) (VGR-1)	Homo sapiens (Human)	513	BMP6
Q7Z5Y6	BMP8A_HUMAN	reviewed	Bone morphogenetic protein 8A (BMP-8A)	Homo sapiens (Human)	402	BMP8A
Q8TDL5	BPIB1_HUMAN	reviewed	BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1) (Von Ebner minor salivary gland protein) (VEMSGP)	Homo sapiens (Human)	484	BPIFB1
P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	Homo sapiens (Human)	119	B2M
Q86Y29	BAGE3_HUMAN	reviewed	B melanoma antigen 3 (Cancer/testis antigen 2.3) (CT2.3)	Homo sapiens (Human)	109	BAGE3
Q15582	BGH3_HUMAN	reviewed	Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)	Homo sapiens (Human)	683	TGFBI
P58397	ATS12_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12) (EC 3.4.24.-)	Homo sapiens (Human)	1594	ADAMTS12
Q8TE57	ATS16_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 16 (ADAM-TS 16) (ADAM-TS16) (ADAMTS-16) (EC 3.4.24.-)	Homo sapiens (Human)	1224	ADAMTS16
Q9H1Z8	AUGN_HUMAN	reviewed	Augurin (Esophageal cancer-related gene 4 protein)	Homo sapiens (Human)	148	C2orf40
Q86Y27	BAGE5_HUMAN	reviewed	B melanoma antigen 5 (Cancer/testis antigen 2.5) (CT2.5)	Homo sapiens (Human)	43	BAGE5
P34820	BMP8B_HUMAN	reviewed	Bone morphogenetic protein 8B (BMP-8) (BMP-8B) (Osteogenic protein 2) (OP-2)	Homo sapiens (Human)	402	BMP8B
P18075	BMP7_HUMAN	reviewed	Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1) (Eptotermin alfa)	Homo sapiens (Human)	431	BMP7
P16442	BGAT_HUMAN	reviewed	Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form]	Homo sapiens (Human)	354	ABO
Q96DR5	BPIA2_HUMAN	reviewed	BPI fold-containing family A member 2 (Parotid secretory protein) (PSP) (Short palate, lung and nasal epithelium carcinoma-associated protein 2)	Homo sapiens (Human)	249	BPIFA2
Q76B58	BRNP3_HUMAN	reviewed	BMP/retinoic acid-inducible neural-specific protein 3 (DBCCR1-like protein 1)	Homo sapiens (Human)	766	BRINP3
Q9NR16	C163B_HUMAN	reviewed	Scavenger receptor cysteine-rich type 1 protein M160 (CD163 antigen-like 1) (CD antigen CD163b)	Homo sapiens (Human)	1453	CD163L1
A6NE02	BTBDH_HUMAN	reviewed	BTB/POZ domain-containing protein 17 (Galectin-3-binding protein-like)	Homo sapiens (Human)	478	BTBD17
Q9BXJ2	C1QT7_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 7	Homo sapiens (Human)	289	C1QTNF7
O75493	CAH11_HUMAN	reviewed	Carbonic anhydrase-related protein 11 (CA-RP XI) (CA-XI) (CARP XI) (Carbonic anhydrase-related protein 2) (CA-RP II) (CARP-2)	Homo sapiens (Human)	328	CA11
Q9BQP9	BPIA3_HUMAN	reviewed	BPI fold-containing family A member 3 (Short palate, lung and nasal epithelium carcinoma-associated protein 3)	Homo sapiens (Human)	254	BPIFA3
P43251	BTD_HUMAN	reviewed	Biotinidase (Biotinase) (EC 3.5.1.12)	Homo sapiens (Human)	543	BTD
P02747	C1QC_HUMAN	reviewed	Complement C1q subcomponent subunit C	Homo sapiens (Human)	245	C1QC
Q9BXJ5	C1QT2_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 2	Homo sapiens (Human)	285	C1QTNF2
P23280	CAH6_HUMAN	reviewed	Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase)	Homo sapiens (Human)	308	CA6
O95393	BMP10_HUMAN	reviewed	Bone morphogenetic protein 10 (BMP-10)	Homo sapiens (Human)	424	BMP10
Q8N8U9	BMPER_HUMAN	reviewed	BMP-binding endothelial regulator protein (Bone morphogenetic protein-binding endothelial cell precursor-derived regulator) (Protein crossveinless-2) (hCV2)	Homo sapiens (Human)	685	BMPER
Q53S33	BOLA3_HUMAN	reviewed	BolA-like protein 3	Homo sapiens (Human)	107	BOLA3
P59826	BPIB3_HUMAN	reviewed	BPI fold-containing family B member 3 (Ligand-binding protein RYA3) (Long palate, lung and nasal epithelium carcinoma-associated protein 3)	Homo sapiens (Human)	476	BPIFB3
Q13410	BT1A1_HUMAN	reviewed	Butyrophilin subfamily 1 member A1 (BT)	Homo sapiens (Human)	526	BTN1A1
Q07021	C1QBP_HUMAN	reviewed	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33)	Homo sapiens (Human)	282	C1QBP
Q86Z23	C1QL4_HUMAN	reviewed	Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)	Homo sapiens (Human)	238	C1QL4
Q9BXJ4	C1QT3_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)	Homo sapiens (Human)	246	C1QTNF3
P0C862	C1T9A_HUMAN	reviewed	Complement C1q and tumor necrosis factor-related protein 9A (Complement C1q and tumor necrosis factor-related protein 9)	Homo sapiens (Human)	333	C1QTNF9
P04003	C4BPA_HUMAN	reviewed	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)	Homo sapiens (Human)	597	C4BPA
Q9Y3E2	BOLA1_HUMAN	reviewed	BolA-like protein 1 (hBolA)	Homo sapiens (Human)	137	BOLA1
Q86VB7	C163A_HUMAN	reviewed	Scavenger receptor cysteine-rich type 1 protein M130 (Hemoglobin scavenger receptor) (CD antigen CD163) [Cleaved into: Soluble CD163 (sCD163)]	Homo sapiens (Human)	1156	CD163
Q7Z5L3	C1QL2_HUMAN	reviewed	Complement C1q-like protein 2 (C1q and tumor necrosis factor-related protein 10) (C1q/TNF-related protein 10)	Homo sapiens (Human)	287	C1QL2
O75973	C1QRF_HUMAN	reviewed	C1q-related factor (C1q and tumor necrosis factor-related protein 14) (C1q/TNF-related protein 14) (Complement component 1 Q subcomponent-like 1)	Homo sapiens (Human)	258	C1QL1
P20851	C4BPB_HUMAN	reviewed	C4b-binding protein beta chain	Homo sapiens (Human)	252	C4BPB
Q5TEV5	CA134_HUMAN	reviewed	Putative uncharacterized protein C1orf134	Homo sapiens (Human)	83	C1orf134
P40121	CAPG_HUMAN	reviewed	Macrophage-capping protein (Actin regulatory protein CAP-G)	Homo sapiens (Human)	348	CAPG
Q8NHW4	CC4L_HUMAN	reviewed	C-C motif chemokine 4-like (Lymphocyte activation gene 1 protein) (LAG-1) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (Monocyte adherence-induced protein 5-alpha) (Small-inducible cytokine A4-like)	Homo sapiens (Human)	92	CCL4L1; CCL4L2
P12644	BMP4_HUMAN	reviewed	Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B)	Homo sapiens (Human)	408	BMP4
Q8N4F0	BPIB2_HUMAN	reviewed	BPI fold-containing family B member 2 (Bactericidal/permeability-increasing protein-like 1) (BPI-like 1) (Long palate, lung and nasal epithelium carcinoma-associated protein 2) (RYSR)	Homo sapiens (Human)	458	BPIFB2
Q8NFQ6	BPIFC_HUMAN	reviewed	BPI fold-containing family C protein (Bactericidal/permeability-increasing protein-like 2) (BPI-like 2)	Homo sapiens (Human)	507	BPIFC
Q075Z2	BSPH1_HUMAN	reviewed	Binder of sperm protein homolog 1 (Bovine seminal plasma protein homolog 1) (Bovine seminal plasma protein-like 1)	Homo sapiens (Human)	132	BSPH1
Q9GZN4	BSSP4_HUMAN	reviewed	Brain-specific serine protease 4 (BSSP-4) (EC 3.4.21.-) (Serine protease 22) (Serine protease 26) (Tryptase epsilon)	Homo sapiens (Human)	317	PRSS22
P35070	BTC_HUMAN	reviewed	Probetacellulin [Cleaved into: Betacellulin (BTC)]	Homo sapiens (Human)	178	BTC
P49913	CAMP_HUMAN	reviewed	Cathelicidin antimicrobial peptide (18 kDa cationic antimicrobial protein) (CAP-18) (hCAP-18) [Cleaved into: Antibacterial peptide FALL-39 (FALL-39 peptide antibiotic); Antibacterial peptide LL-37]	Homo sapiens (Human)	170	CAMP
P49662	CASP4_HUMAN	reviewed	Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit 1; Caspase-4 subunit 2]	Homo sapiens (Human)	377	CASP4
P17213	BPI_HUMAN	reviewed	Bactericidal permeability-increasing protein (BPI) (CAP 57)	Homo sapiens (Human)	487	BPI
Q8WWF1	CA054_HUMAN	reviewed	Uncharacterized protein C1orf54	Homo sapiens (Human)	131	C1orf54
P10092	CALCB_HUMAN	reviewed	Calcitonin gene-related peptide 2 (Beta-type CGRP) (Beta-CGRP) (Calcitonin gene-related peptide II) (CGRP-II)	Homo sapiens (Human)	127	CALCB
P01258	CALC_HUMAN	reviewed	Calcitonin [Cleaved into: Calcitonin; Katacalcin (Calcitonin carboxyl-terminal peptide) (CCP) (PDN-21)]	Homo sapiens (Human)	141	CALCA
P27797	CALR_HUMAN	reviewed	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	Homo sapiens (Human)	417	CALR
P47710	CASA1_HUMAN	reviewed	Alpha-S1-casein [Cleaved into: Casoxin-D]	Homo sapiens (Human)	185	CSN1S1
P07498	CASK_HUMAN	reviewed	Kappa-casein	Homo sapiens (Human)	182	CSN3
P08185	CBG_HUMAN	reviewed	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)	Homo sapiens (Human)	405	SERPINA6
Q5VWW1	C1QL3_HUMAN	reviewed	Complement C1q-like protein 3 (C1q and tumor necrosis factor-related protein 13) (C1q/TNF-related protein 13)	Homo sapiens (Human)	255	C1QL3
Q9BXJ3	C1QT4_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 4	Homo sapiens (Human)	329	C1QTNF4
